"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-89.33","48.37","THUNDER BAY CS","6048268","2023-02-04","2023","02","04","","-8.9","","-16.6","","-12.8","","30.8","","0.0","","","","","","0.9","","31","","22","","42",""
"-89.33","48.37","THUNDER BAY CS","6048268","2023-02-05","2023","02","05","","-8.6","","-21.4","","-15.0","","33.0","","0.0","","","","","","2.4","","31","","","","",""
"-89.33","48.37","THUNDER BAY CS","6048268","2023-02-06","2023","02","06","","1.2","","-23.0","","-10.9","","28.9","","0.0","","","","","","0.6","","33","","22","","32",""
"-89.33","48.37","THUNDER BAY CS","6048268","2023-02-07","2023","02","07","","1.0","","-15.0","","-7.0","","25.0","","0.0","","","","","","0.4","","35","","30","","54",""
"-89.33","48.37","THUNDER BAY CS","6048268","2023-02-08","2023","02","08","","2.4","","-15.6","","-6.6","","24.6","","0.0","","","","","","0.0","","34","","","","",""
"-89.33","48.37","THUNDER BAY CS","6048268","2023-02-09","2023","02","09","","2.7","","-5.5","","-1.4","","19.4","","0.0","","","","","","0.0","","35","","35","","50",""
"-89.33","48.37","THUNDER BAY CS","6048268","2023-02-10","2023","02","10","","-4.8","","-13.6","","-9.2","","27.2","","0.0","","","","","","0.0","","35","","32","","47",""
"-89.33","48.37","THUNDER BAY CS","6048268","2023-02-11","2023","02","11","","5.8","","-13.3","","-3.7","","21.7","","0.0","","","","","","0.0","","34","","29","","58",""
"-89.33","48.37","THUNDER BAY CS","6048268","2023-02-12","2023","02","12","","5.7","","-6.6","","-0.5","","18.5","","0.0","","","","","","0.0","","34","","","","",""
"-89.33","48.37","THUNDER BAY CS","6048268","2023-02-13","2023","02","13","","5.3","","-6.5","","-0.6","","18.6","","0.0","","","","","","0.0","","33","","30","","42",""
"-89.33","48.37","THUNDER BAY CS","6048268","2023-02-14","2023","02","14","","","","","","","","","","","","","","","","","","","","","","",""
"-89.33","48.37","THUNDER BAY CS","6048268","2023-02-15","2023","02","15","","","","","","","","","","","","","","","","","","","","","","",""
"-89.33","48.37","THUNDER BAY CS","6048268","2023-02-16","2023","02","16","","","","","","","","","","","","","","","","","","","","","","",""
"-89.33","48.37","THUNDER BAY CS","6048268","2023-02-17","2023","02","17","","","","","","","","","","","","","","","","","","","","","","",""
"-89.33","48.37","THUNDER BAY CS","6048268","2023-02-18","2023","02","18","","","","","","","","","","","","","","","","","","","","","","",""
"-89.33","48.37","THUNDER BAY CS","6048268","2023-02-19","2023","02","19","","","","","","","","","","","","","","","","","","","","","","",""
"-89.33","48.37","THUNDER BAY CS","6048268","2023-02-20","2023","02","20","","","","","","","","","","","","","","","","","","","","","","",""
"-89.33","48.37","THUNDER BAY CS","6048268","2023-02-21","2023","02","21","","","","","","","","","","","","","","","","","","","","","","",""
"-89.33","48.37","THUNDER BAY CS","6048268","2023-02-22","2023","02","22","","","","","","","","","","","","","","","","","","","","","","",""
"-89.33","48.37","THUNDER BAY CS","6048268","2023-02-23","2023","02","23","","","","","","","","","","","","","","","","","","","","","","",""
"-89.33","48.37","THUNDER BAY CS","6048268","2023-02-24","2023","02","24","","","","","","","","","","","","","","","","","","","","","","",""
"-89.33","48.37","THUNDER BAY CS","6048268","2023-02-25","2023","02","25","","","","","","","","","","","","","","","","","","","","","","",""
"-89.33","48.37","THUNDER BAY CS","6048268","2023-02-26","2023","02","26","","","","","","","","","","","","","","","","","","","","","","",""
"-89.33","48.37","THUNDER BAY CS","6048268","2023-02-27","2023","02","27","","","","","","","","","","","","","","","","","","","","","","",""
"-89.33","48.37","THUNDER BAY CS","6048268","2023-02-28","2023","02","28","","","","","","","","","","","","","","","","","","","","","","",""
"-89.33","48.37","THUNDER BAY CS","6048268","2023-03-01","2023","03","01","","","","","","","","","","","","","","","","","","","","","","",""
"-89.33","48.37","THUNDER BAY CS","6048268","2023-03-02","2023","03","02","","","","","","","","","","","","","","","","","","","","","","",""
"-89.33","48.37","THUNDER BAY CS","6048268","2023-03-03","2023","03","03","","","","","","","","","","","","","","","","","","","","","","",""
"-89.33","48.37","THUNDER BAY CS","6048268","2023-03-04","2023","03","04","","","","","","","","","","","","","","","","","","","","","","",""
"-89.33","48.37","THUNDER BAY CS","6048268","2023-03-05","2023","03","05","","","","","","","","","","","","","","","","","","","","","","",""
"-89.33","48.37","THUNDER BAY CS","6048268","2023-03-06","2023","03","06","","","","","","","","","","","","","","","","","","","","","","",""
"-89.33","48.37","THUNDER BAY CS","6048268","2023-03-07","2023","03","07","","","","","","","","","","","","","","","","","","","","","","",""
"-89.33","48.37","THUNDER BAY CS","6048268","2023-03-08","2023","03","08","","","","","","","","","","","","","","","","","","","","","","",""
"-89.33","48.37","THUNDER BAY CS","6048268","2023-03-09","2023","03","09","","","","","","","","","","","","","","","","","","","","","","",""
"-89.33","48.37","THUNDER BAY CS","6048268","2023-03-10","2023","03","10","","","","","","","","","","","","","","","","","","","","","","",""
"-89.33","48.37","THUNDER BAY CS","6048268","2023-03-11","2023","03","11","","","","","","","","","","","","","","","","","","","","","","",""
"-89.33","48.37","THUNDER BAY CS","6048268","2023-03-12","2023","03","12","","","","","","","","","","","","","","","","","","","","","","",""
"-89.33","48.37","THUNDER BAY CS","6048268","2023-03-13","2023","03","13","","","","","","","","","","","","","","","","","","","","","","",""
"-89.33","48.37","THUNDER BAY CS","6048268","2023-03-14","2023","03","14","","","","","","","","","","","","","","","","","","","","","","",""
"-89.33","48.37","THUNDER BAY CS","6048268","2023-03-15","2023","03","15","","","","","","","","","","","","","","","","","","","","","","",""
"-89.33","48.37","THUNDER BAY CS","6048268","2023-03-16","2023","03","16","","","","","","","","","","","","","","","","","","","","","","",""
"-89.33","48.37","THUNDER BAY CS","6048268","2023-03-17","2023","03","17","","","","","","","","","","","","","","","","","","","","","","",""
"-89.33","48.37","THUNDER BAY CS","6048268","2023-03-18","2023","03","18","","","","","","","","","","","","","","","","","","","","","","",""
